source,target,type,weight
ITA-1.6.5,ITA-1.6.6,SAME_CHAPTER,0.5
ITA-1.6.5,ITA-1.6.7,SAME_CHAPTER,0.5
ITA-1.6.5,ITA-1.6.8,SAME_CHAPTER,0.5
ITA-1.6.5,ITA-1.6.9,SAME_CHAPTER,0.5
ITA-1.6.5,ITA-1.6.10,SAME_CHAPTER,0.5
ITA-1.6.6,ITA-1.6.7,SAME_CHAPTER,0.5
ITA-1.6.6,ITA-1.6.8,SAME_CHAPTER,0.5
ITA-1.6.6,ITA-1.6.9,SAME_CHAPTER,0.5
ITA-1.6.6,ITA-1.6.10,SAME_CHAPTER,0.5
ITA-1.6.6,ITA-1.6.11,SAME_CHAPTER,0.5
ITA-1.6.7,ITA-1.6.8,SAME_CHAPTER,0.5
ITA-1.6.7,ITA-1.6.9,SAME_CHAPTER,0.5
ITA-1.6.7,ITA-1.6.10,SAME_CHAPTER,0.5
ITA-1.6.7,ITA-1.6.11,SAME_CHAPTER,0.5
ITA-1.6.7,ITA-1.6.12,SAME_CHAPTER,0.5
ITA-1.6.8,ITA-1.6.9,SAME_CHAPTER,0.5
ITA-1.6.8,ITA-1.6.10,SAME_CHAPTER,0.5
ITA-1.6.8,ITA-1.6.11,SAME_CHAPTER,0.5
ITA-1.6.8,ITA-1.6.12,SAME_CHAPTER,0.5
ITA-1.6.8,ITA-1.6.13,SAME_CHAPTER,0.5
ITA-1.6.9,ITA-1.6.10,SAME_CHAPTER,0.5
ITA-1.6.9,ITA-1.6.11,SAME_CHAPTER,0.5
ITA-1.6.9,ITA-1.6.12,SAME_CHAPTER,0.5
ITA-1.6.9,ITA-1.6.13,SAME_CHAPTER,0.5
ITA-1.6.9,ITA-1.6.14,SAME_CHAPTER,0.5
ITA-1.6.10,ITA-1.6.11,SAME_CHAPTER,0.5
ITA-1.6.10,ITA-1.6.12,SAME_CHAPTER,0.5
ITA-1.6.10,ITA-1.6.13,SAME_CHAPTER,0.5
ITA-1.6.10,ITA-1.6.14,SAME_CHAPTER,0.5
ITA-1.6.10,ITA-1.6.15,SAME_CHAPTER,0.5
ITA-1.6.11,ITA-1.6.12,SAME_CHAPTER,0.5
ITA-1.6.11,ITA-1.6.13,SAME_CHAPTER,0.5
ITA-1.6.11,ITA-1.6.14,SAME_CHAPTER,0.5
ITA-1.6.11,ITA-1.6.15,SAME_CHAPTER,0.5
ITA-1.6.11,ITA-1.6.16,SAME_CHAPTER,0.5
ITA-1.6.12,ITA-1.6.13,SAME_CHAPTER,0.5
ITA-1.6.12,ITA-1.6.14,SAME_CHAPTER,0.5
ITA-1.6.12,ITA-1.6.15,SAME_CHAPTER,0.5
ITA-1.6.12,ITA-1.6.16,SAME_CHAPTER,0.5
ITA-1.6.12,ITA-1.6.17,SAME_CHAPTER,0.5
ITA-1.6.13,ITA-1.6.14,SAME_CHAPTER,0.5
ITA-1.6.13,ITA-1.6.15,SAME_CHAPTER,0.5
ITA-1.6.13,ITA-1.6.16,SAME_CHAPTER,0.5
ITA-1.6.13,ITA-1.6.17,SAME_CHAPTER,0.5
ITA-1.6.13,ITA-1.6.18,SAME_CHAPTER,0.5
ITA-1.6.14,ITA-1.6.15,SAME_CHAPTER,0.5
ITA-1.6.14,ITA-1.6.16,SAME_CHAPTER,0.5
ITA-1.6.14,ITA-1.6.17,SAME_CHAPTER,0.5
ITA-1.6.14,ITA-1.6.18,SAME_CHAPTER,0.5
ITA-1.6.14,ITA-1.6.19,SAME_CHAPTER,0.5
ITA-1.6.15,ITA-1.6.16,SAME_CHAPTER,0.5
ITA-1.6.15,ITA-1.6.17,SAME_CHAPTER,0.5
ITA-1.6.15,ITA-1.6.18,SAME_CHAPTER,0.5
ITA-1.6.15,ITA-1.6.19,SAME_CHAPTER,0.5
ITA-1.6.15,ITA-1.6.20,SAME_CHAPTER,0.5
ITA-1.6.16,ITA-1.6.17,SAME_CHAPTER,0.5
ITA-1.6.16,ITA-1.6.18,SAME_CHAPTER,0.5
ITA-1.6.16,ITA-1.6.19,SAME_CHAPTER,0.5
ITA-1.6.16,ITA-1.6.20,SAME_CHAPTER,0.5
ITA-1.6.16,ITA-1.6.21,SAME_CHAPTER,0.5
ITA-1.6.17,ITA-1.6.18,SAME_CHAPTER,0.5
ITA-1.6.17,ITA-1.6.19,SAME_CHAPTER,0.5
ITA-1.6.17,ITA-1.6.20,SAME_CHAPTER,0.5
ITA-1.6.17,ITA-1.6.21,SAME_CHAPTER,0.5
ITA-1.6.17,ITA-1.6.22,SAME_CHAPTER,0.5
ITA-1.6.18,ITA-1.6.19,SAME_CHAPTER,0.5
ITA-1.6.18,ITA-1.6.20,SAME_CHAPTER,0.5
ITA-1.6.18,ITA-1.6.21,SAME_CHAPTER,0.5
ITA-1.6.18,ITA-1.6.22,SAME_CHAPTER,0.5
ITA-1.6.18,ITA-1.6.23,SAME_CHAPTER,0.5
ITA-1.6.19,ITA-1.6.20,SAME_CHAPTER,0.5
ITA-1.6.19,ITA-1.6.21,SAME_CHAPTER,0.5
ITA-1.6.19,ITA-1.6.22,SAME_CHAPTER,0.5
ITA-1.6.19,ITA-1.6.23,SAME_CHAPTER,0.5
ITA-1.6.19,ITA-1.6.24,SAME_CHAPTER,0.5
ITA-1.6.20,ITA-1.6.21,SAME_CHAPTER,0.5
ITA-1.6.20,ITA-1.6.22,SAME_CHAPTER,0.5
ITA-1.6.20,ITA-1.6.23,SAME_CHAPTER,0.5
ITA-1.6.20,ITA-1.6.24,SAME_CHAPTER,0.5
ITA-1.6.20,ITA-1.6.25,SAME_CHAPTER,0.5
ITA-1.6.21,ITA-1.6.22,SAME_CHAPTER,0.5
ITA-1.6.21,ITA-1.6.23,SAME_CHAPTER,0.5
ITA-1.6.21,ITA-1.6.24,SAME_CHAPTER,0.5
ITA-1.6.21,ITA-1.6.25,SAME_CHAPTER,0.5
ITA-1.6.21,ITA-1.6.26,SAME_CHAPTER,0.5
ITA-1.6.22,ITA-1.6.23,SAME_CHAPTER,0.5
ITA-1.6.22,ITA-1.6.24,SAME_CHAPTER,0.5
ITA-1.6.22,ITA-1.6.25,SAME_CHAPTER,0.5
ITA-1.6.22,ITA-1.6.26,SAME_CHAPTER,0.5
ITA-1.6.22,ITA-1.6.27,SAME_CHAPTER,0.5
ITA-1.6.23,ITA-1.6.24,SAME_CHAPTER,0.5
ITA-1.6.23,ITA-1.6.25,SAME_CHAPTER,0.5
ITA-1.6.23,ITA-1.6.26,SAME_CHAPTER,0.5
