id,english,iast,devanagari,type,chapter,doshas,dhatus,clinical_significance
ITA-5.6.21,Intermittent fever,vātapittatṛtīyakajvaraḥ,वातपित्ततृतीयकज्वरः,DISEASE,5,vata|pitta,,high
ITA-5.6.22,Intermittent fever,caturthakaviṣamajvaraḥ,चतुर्थकविषमज्वरः,DISEASE,5,,,medium
ITA-5.6.23,Intermittent fever,vātajacaturthakajvaraḥ,वातजचतुर्थकज्वरः,DISEASE,5,vata,,high
ITA-5.6.24,Intermittent fever,pittajacaturthakajvaraḥ,पित्तजचतुर्थकज्वरः,DISEASE,5,pitta,,high
ITA-5.6.25,Intermittent fiver,kaphajacaturthakajvaraḥ,कफजचतुर्थकज्वरः,DISEASE,5,kapha,,high
ITA-5.6.26,Intermittent fiver,caturthakavipa-,चतुर्थकविप-,DISEASE,5,,,medium
ITA-5.6.27,Persistent low-grade,vātabalāsakajvaraḥ,वातबलासकज्वरः,DISEASE,5,vata,,high
ITA-5.6.28,Fever due to vitiated,rasadhātugatajvaraḥ,रसधातुगतज्वरः,DISEASE,5,,rasa,medium
ITA-5.6.29,Fever due to,raktadhātugatajvaraḥ,रक्तधातुगतज्वरः,DISEASE,5,,rakta,medium
ITA-5.6.30,Fever due to,māṃsadhātugatajvaraḥ,मांसधातुगतज्वरः,DISEASE,5,,mamsa,medium
ITA-5.6.31,Fever due to,medodhātugatajvaraḥ,मेदोधातुगतज्वरः,DISEASE,5,,,medium
ITA-5.6.32,Fever due to,asthidhātugatajvaraḥ,अस्थिधातुगतज्वरः,DISEASE,5,,asthi,medium
ITA-5.6.33,Fever due to vitiated,majjādhātugatajvaraḥ,मज्जाधातुगतज्वरः,DISEASE,5,,majja,medium
ITA-5.6.34,Fever due to vitiated,śukradhātugatajvaraḥ,शुक्रधातुगतज्वरः,DISEASE,5,,shukra,medium
ITA-5.6.35,Fever in which dosha,antarvegajvaraḥ,अन्तर्वेगज्वरः,DISEASE,5,,,medium
ITA-5.6.36,Fever in which dosha and,bahirvegajvaraḥ,बहिर्वेगज्वरः,DISEASE,5,,,medium
ITA-5.6.37,Fever due to ama,āmajajvaraḥ,आमजज्वरः,DISEASE,5,,,medium
ITA-5.6.38,Intermediate stage of,pacyamānajvaraḥ,पच्यमानज्वरः,DISEASE,5,,,medium
ITA-5.6.39,Fever devoid- of,nirāmaḥ,निरामः,DISEASE,5,,,medium
ITA-5.7.1,Diarrhoea,atisāra,अतिसार,DISEASE,5,,,medium
ITA-5.7.2,Prodromal symptoms,atisārapūrvarūpam,अतिसारपूर्वरूपम,DISEASE,5,,,medium
ITA-5.7.3,Diarrhoea due to,vataja-atisāraḥ,वतज-अतिसारः,DISEASE,5,vata,,high
ITA-5.7.4,Diarrhoea due to,pittaja-atisāraḥ,पित्तज-अतिसारः,DISEASE,5,pitta,,high
ITA-5.7.5,Diarrhoea due to,kaphaja-atisāraḥ,कफज-अतिसारः,DISEASE,5,kapha,,medium
ITA-5.7.6,Diarrhoea due to ama,āmātisāraḥ,आमातिसारः,DISEASE,5,,,medium
ITA-5.7.7,Diarrhoea due to,raktātisāraḥ,रक्तातिसारः,DISEASE,5,,,medium
ITA-5.8.1,Dysentery,pravāhikā,प्रवाहिका,DISEASE,5,,,medium
ITA-5.9.1,Chronic diarrhoea,grahaṇīroga,ग्रहणीरोग,DISEASE,5,,,medium
ITA-5.9.2,Chronic diarrhoea,vātaja grahaṇīroga,वातज ग्रहणीरोग,DISEASE,5,vata,,medium
ITA-5.9.3,Chronic diarrhoea,pittaja grahaṇīroga,पित्तज ग्रहणीरोग,DISEASE,5,pitta,,high
ITA-5.9.4,Chronic diarrhoea,kaphajagrahaṇīroga,कफजग्रहणीरोग,DISEASE,5,kapha,,medium
ITA-5.9.5,Chronic diarrhoea,sannipātaja grahaṇīroga,सन्निपातज ग्रहणीरोग,DISEASE,5,,,medium
ITA-5.10.1,Haemorrhoids,arśaḥ,अर्शः,DISEASE,5,,,medium
ITA-5.10.2,Haemorrhoids due to,vātajārśaḥ,वातजार्शः,DISEASE,5,vata,,high
ITA-5.10.3,Haemorrhoids due to,pittajārśaḥ,पित्तजार्शः,DISEASE,5,pitta,,high
ITA-5.10.4,Haemorrhoids due to,kaphajārśaḥ,कफजार्शः,DISEASE,5,kapha,,high
ITA-5.10.5,Haemorrhoids due to,raktajārśaḥ,रक्तजार्शः,DISEASE,5,,rakta,medium
ITA-5.10.6,Haemorrhoids due to,sannipātajārśaḥ,सन्निपातजार्शः,DISEASE,5,,,medium
ITA-5.10.7,Congenital,sahajārśaḥ,सहजार्शः,DISEASE,5,,,medium
ITA-5.10.8,Haemorrhoids due to,dvandvaja-arśaḥ,द्वन्द्वज-अर्शः,DISEASE,5,,,medium
ITA-5.11.1,Subdued digestive,mandāgniḥ,मन्दाग्निः,DISEASE,5,,,medium
ITA-5.11.2,Excessive digestive,atyagniḥ/ bhasmakaḥ,अत्यग्निः/ भस्मकः,DISEASE,5,,,medium
ITA-5.11.3,Irregular digestive,viṣamāgniḥ,विषमाग्निः,DISEASE,5,,,medium
ITA-5.11.4,Indigestion,ajīrṇam,अजीर्णम,DISEASE,5,,,medium
ITA-5.11.5,Indigestion,"viṣṭabdhājīrṇam,",विष्टब्धाजीर्णम,DISEASE,5,,,medium
ITA-5.11.6,Indigestion due,vidagdhājīrṇam/,विदग्धाजीर्णम/,DISEASE,5,,,medium
ITA-5.11.7,Indigestion due to,āmājīrṇam/,आमाजीर्णम/,DISEASE,5,,,medium
ITA-5.11.8,Indigestion due to,rasaśeṣajanya-ajīrṇam,रसशेषजञ-अजीर्णम,DISEASE,5,,rasa,medium
ITA-5.11.9,"Indigestion, when",dinapāki-ajīrṇam,दिनपाकि-अजीर्णम,DISEASE,5,,,medium
ITA-5.11.10,,prativāsara-ajīrṇam,प्रतिवासर-अजीर्णम,DISEASE,5,pitta,,high
ITA-5.11.11,Intumescence of,alasaka-ajīrṇam,अलसक-अजीर्णम,DISEASE,5,,,medium
ITA-5.12.1,"Acute, severe",visūcikā,विसूचिका,DISEASE,5,,,medium
ITA-5.12.2,Complications of,visūcikā-upadravaḥ,विसूचिका-उपद्रवः,DISEASE,5,pitta,,high
ITA-5.13.1,External worm,bāhyajakṛmiḥ,बाह्यजकृमिः,DISEASE,5,,,medium
ITA-5.13.2,Head lice,yūkā,यूका,DISEASE,5,,,medium
ITA-5.13.3,Nit infestation,likṣā,लिक्षा,DISEASE,5,,,medium
ITA-5.13.4,Internal worm,ābhyantara-kṛmiḥ,आभ्यन्तर-कृमिः,DISEASE,5,,,medium
ITA-5.13.5,Worm or parasite,kaphajakṛmiḥ,कफजकृमिः,DISEASE,5,kapha,,high
ITA-5.13.6,Worm or parasite,purīṣajakṛmiḥ [kakerukaḥ,पुरीषजकृमिः [ककेरुकः,DISEASE,5,,,medium
ITA-5.13.7,Worm formed in,śoṇitajakṛmiḥ/,शोणितजकृमिः/,DISEASE,5,,,medium
ITA-5.14.1,Anaemic syndrome,pāṇḍurogaḥ,पाण्डुरोगः,DISEASE,5,,,medium
ITA-5.14.2,Anaemic syndrome,vātajapāṇḍurogaḥ,वातजपाण्डुरोगः,DISEASE,5,vata,,high
ITA-5.14.3,Anaemic syndrome,pittajapāṇḍurogaḥ,पित्तजपाण्डुरोगः,DISEASE,5,pitta,,high
